"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
85	2878	"longjaw mudsucker"	69	"LNGJAWMD"			"LJM"	1	"Longjaw Mudsucker"	"NA"	"NA"	"NA"	"Gobiidae"	"Gillichthys"	"mirabilis"
86		"Maeotias marginata"	157		101			1	"Maeotias"	"NA"	"NA"	"NA"	"NA"	"Maeotias"	"marginata"
87	7079	"minnow (Unid)"	24	"MINNOWS"			"CYP"	1	"Cyprinids (Unid)"	"NA"	"NA"	"NA"	"Cyprinidae"	"NA"	"NA"
88	7128	"Mississippi silverside"	53	"INLDSLVR"	12	"INLSLVER"	"32"	1	"Mississippi Silverside"	"NA"	"NA"	"NA"	"Atherinopsidae"	"Menidia"	"audens"
89	2775	"monkeyface prickleback"						1							
90	2678	"mussel blenny"						1							
91	1205	"night smelt"	111		26	"NGHTSMLT"		1	"Night Smelt"	"NA"	"NA"	"NA"	"Osmeridae"	"Spirinchus"	"starski"
92	1514	"northern anchovy"	14	"NANCHOVY"	13	"NANCHOVY"	"14"	1	"Northern Anchovy"	"NA"	"NA"	"NA"	"Engraulidae"	"Engraulis"	"mordax"
93	1802	"northern clingfish"						1							
94	1403	"northern lampfish"						1							
95	2753	"onespot fringehead"						1							
96	1521	"Pacific argentine"						1							
97	2720	"Pacific barracuda"						1							
98	1635	"Pacific blacksmelt"						1							
99	2209	"Pacific chub mackeral"						1							
100	218	"Pacific electric ray"	124		91	"PACELRAY"		1	"Pacific Electric Ray"	"NA"	"NA"	"NA"	"Torpedinidae"	"Torpedo"	"californica"
101	1303	"Pacific hake"						1							
102	3105	"Pacific halibut"	140		79	"PHALIBUT"		1	"Pacific Halibut"	"NA"	"NA"	"NA"	"Bothidae"	"Hippoglossus"	"stenolepis"
103	1002	"Pacific herring"	52	"PHERRING"	16	"PHERRING"	"PH"	1	"Pacific Herring"	"NA"	"NA"	"NA"	"Clupeidae"	"Clupea"	"pallasi"
